ID,Chain,SouthJ,CentralJ,NorthJ,PA1,PA2,Shore,Group,Empl,C.Owned,Hours.Opening,Soda,Fries,Treatment
46,1,0,0,0,1,0,0,0,30,0,16.5,1.03,1.03,0
49,2,0,0,0,1,0,0,0,6.5,0,13,1.01,0.9,0
506,2,0,0,0,1,0,0,0,3,1,10,0.95,0.74,0
56,4,0,0,0,1,0,0,0,20,1,12,0.87,0.82,0
61,4,0,0,0,1,0,0,0,6,1,12,0.87,0.77,0
62,4,0,0,0,1,0,0,0,0,1,12,0.87,0.77,0
445,1,0,0,0,0,1,0,0,50,0,18,1.04,0.88,0
451,1,0,0,0,0,1,0,0,10,0,24,1.05,0.84,0
455,2,0,0,0,0,1,0,0,2,1,10,0.73,0.73,0
458,2,0,0,0,1,0,0,0,2,1,10,0.94,0.73,0
462,3,0,0,0,0,1,0,0,2.5,1,12.5,1.05,1.01,0
468,1,0,0,0,0,1,0,0,40,0,18,0.95,0.94,0
469,1,0,0,0,0,1,0,0,8,0,18,0.92,0.72,0
470,1,0,0,0,0,1,0,0,10.5,0,18,0.97,0.84,0
474,1,0,0,0,0,1,0,0,6,0,12.5,1.13,0.98,0
481,2,0,0,0,0,1,0,0,5,1,10,0.95,0.74,0
483,2,0,0,0,0,1,0,0,1,1,10,0.94,0.73,0
487,3,0,0,0,0,1,0,0,10,1,11.5,1.11,0.91,0
488,3,0,0,0,0,1,0,0,20,0,16,1.05,0.79,0
489,3,0,0,0,0,1,0,0,5,0,14,1.05,1.01,0
490,3,0,0,0,0,1,0,0,10,1,16,1.05,1.01,0
493,3,0,0,0,1,0,0,0,27,1,16,1.05,0.9,0
495,3,0,0,0,0,1,0,0,4,0,15,1.05,1.01,0
496,3,0,0,0,0,1,0,0,10,1,16,1.05,0.9,0
499,4,0,0,0,0,1,0,0,0,1,12,0.9,0.69,0
509,3,0,0,0,0,1,0,0,3,1,16,1.05,0.95,0
515,3,0,0,0,0,1,0,0,7,1,16,1.05,0.94,0
37,1,0,0,0,1,0,0,0,21,0,16.5,0.98,0.84,0
39,1,0,0,0,1,0,0,0,1,0,17.5,1.03,0.73,0
40,1,0,0,0,1,0,0,0,10,0,16.5,0.98,0.82,0
41,1,0,0,0,1,0,0,0,0,0,16.5,0.98,0.82,0
42,1,0,0,0,1,0,0,0,17,0,16.5,0.98,0.83,0
45,1,0,0,0,1,0,0,0,0,0,16,0.98,0.83,0
47,1,0,0,0,1,0,0,0,25,0,17,1.05,0.86,0
48,1,0,0,0,1,0,0,0,6,0,14,1.01,0.84,0
50,2,0,0,0,1,0,0,0,6,0,12,1.01,0.89,0
51,2,0,0,0,1,0,0,0,0,0,13,1.01,0.89,0
57,4,0,0,0,1,0,0,0,30,1,12,0.87,0.79,0
58,4,0,0,0,1,0,0,0,8,1,12,0.87,0.77,0
59,4,0,0,0,1,0,0,0,0,0,10.5,0.91,0.89,0
60,4,0,0,0,1,0,0,0,10,0,11.5,0.94,0.74,0
407,2,0,0,0,0,1,0,0,2,1,10,0.95,0.74,0
430,1,0,0,0,1,0,0,0,20,0,15,0.95,0.75,0
432,1,0,0,0,1,0,0,0,20,0,16,0.94,0.74,0
433,1,0,0,0,1,0,0,0,10,0,16,0.95,0.73,0
434,1,0,0,0,1,0,0,0,15,0,16,0.95,0.75,0
435,1,0,0,0,1,0,0,0,1,0,15.5,0.95,0.75,0
438,2,0,0,0,1,0,0,0,0,0,8,1.01,0.84,0
440,4,0,0,0,1,0,0,0,0,0,11.5,0.89,0.79,0
441,4,0,0,0,1,0,0,0,30,0,11.5,0.89,0.77,0
443,4,0,0,0,1,0,0,0,4,0,11.5,0.89,0.79,0
444,4,0,0,0,1,0,0,0,12,0,12.5,0.89,0.8,0
446,1,0,0,0,0,1,0,0,NA,0,18,1.03,0.84,0
448,1,0,0,0,0,1,0,0,8,0,18,0.97,0.84,0
449,1,0,0,0,0,1,0,0,0,0,18,NA,NA,0
450,1,0,0,0,0,1,0,0,2,0,16.5,0.97,0.82,0
454,2,0,0,0,0,1,0,0,1,1,10,0.94,0.73,0
459,3,0,0,0,0,1,0,0,5,1,16,1.05,0.9,0
466,4,0,0,0,0,1,0,0,8,0,11.5,0.94,0.8,0
471,1,0,0,0,0,1,0,0,25,0,18,0.97,0.84,0
472,1,0,0,0,0,1,0,0,37.5,0,16.5,0.97,1.05,0
473,1,0,0,0,0,1,0,0,5,0,17,0.97,0.86,0
475,1,0,0,0,0,1,0,0,25,0,15,1.02,0.89,0
476,1,0,0,0,1,0,0,0,6,0,18,0.95,0.79,0
477,1,0,0,0,0,1,0,0,8,0,16.5,0.97,0.78,0
478,1,0,0,0,1,0,0,0,32,0,19,0.97,0.86,0
485,2,0,0,0,0,1,0,0,1,1,10,0.95,0.74,0
491,3,0,0,0,0,1,0,0,4,0,13,1.05,0.91,0
492,3,0,0,0,0,1,0,0,2,1,12.5,1.11,1.05,0
497,4,0,0,0,0,1,0,0,12,1,12,0.91,0.84,0
498,4,0,0,0,0,1,0,0,20,1,12,0.91,0.84,0
501,1,0,0,0,0,1,0,0,14,0,16.5,0.84,0.84,0
503,1,0,0,0,0,1,0,0,7.5,0,16.5,0.97,0.84,0
510,3,0,0,0,0,1,0,0,7,1,16,1.05,0.91,0
511,3,0,0,0,0,1,0,0,4,1,16.5,1.01,0.91,0
514,3,0,0,0,0,1,0,0,5,0,16,0.94,0.9,0
516,3,0,0,0,0,1,0,0,6,1,16,1.05,0.91,0
521,1,0,0,0,1,0,0,0,2.5,0,16.5,NA,NA,0
522,1,0,0,0,1,0,0,0,2,0,16,1,0.87,0
113,1,0,1,0,0,0,0,1,0,0,16,1.06,0.95,0
123,1,0,1,0,0,0,0,1,0,0,14.5,1.06,0.95,0
135,3,0,1,0,0,0,0,1,10,0,12.5,NA,NA,0
138,3,0,0,1,0,0,0,1,4.5,1,11.5,1.12,1.07,0
153,1,0,0,1,0,0,0,1,0,0,17,1,0.95,0
181,2,0,0,1,0,0,0,1,0,0,11,0.91,0.79,0
191,4,0,0,1,0,0,0,1,30,0,12,1.06,0.95,0
231,1,0,0,1,0,0,0,1,NA,0,16,1.02,1.02,0
236,1,0,0,1,0,0,0,1,0,0,17,1.18,1.02,0
254,4,1,0,0,0,0,1,1,20,0,16,1.06,0.86,0
255,4,1,0,0,0,0,0,1,0,0,14,1.01,0.79,0
294,1,0,0,1,0,0,0,1,0,0,16,1.06,0.95,0
306,3,0,0,1,0,0,0,1,15,1,17,1.02,NA,0
311,4,0,0,1,0,0,0,1,0,0,11.5,0.91,0.91,0
315,1,1,0,0,0,0,0,1,5,0,16,1,0.85,0
335,1,1,0,0,0,0,0,1,9,1,17,1.06,0.92,0
372,1,0,0,1,0,0,0,1,0,1,19,1.1,0.95,0
6,3,0,1,0,0,0,0,1,2,1,7,1.2,1.17,0
14,2,0,1,0,0,0,0,1,10,0,11,1.06,0.85,0
26,1,0,0,1,0,0,0,1,30,0,16,1.06,0.91,0
27,2,0,1,0,0,0,0,1,4,1,10,1.06,0.85,0
30,2,0,0,1,0,0,0,1,6,0,10,1.06,1.06,0
31,2,0,1,0,0,0,0,1,4,0,11,1.03,1.06,0
33,3,0,0,1,0,0,0,1,12,0,17,1.02,1.07,0
36,4,0,1,0,0,0,0,1,8,0,13,1.02,0.91,0
77,3,0,0,1,0,0,0,1,6,0,19,1.18,1.07,0
78,3,0,0,1,0,0,0,1,13,1,17,1.12,1.02,0
81,4,0,0,1,0,0,0,1,25,0,12,1.06,0.98,0
82,4,0,0,1,0,0,0,1,8,0,13.5,1.06,1.03,0
83,4,0,0,1,0,0,0,1,12.5,0,13.5,1.06,0.98,0
85,1,0,1,0,0,0,1,1,7,0,12.5,1.12,1.02,0
89,1,0,1,0,0,0,0,1,10,1,16,1.09,0.95,0
94,2,0,1,0,0,0,0,1,0,0,10,1.06,0.8,0
103,4,0,0,1,0,0,0,1,12.5,0,11.5,0.91,0.85,0
112,4,0,0,1,0,0,0,1,4,0,14,1.06,0.98,0
128,2,0,1,0,0,0,0,1,6.5,1,11,1.06,0.85,0
129,3,0,1,0,0,0,0,1,20,0,16,1.1,1,0
131,3,0,1,0,0,0,0,1,15,0,17,1.06,1.06,0
139,4,0,1,0,0,0,0,1,NA,0,12.5,0.95,0.95,0
143,4,0,1,0,0,0,0,1,0,0,11.5,0.95,0.95,0
144,4,0,1,0,0,0,0,1,10,0,12.5,0.91,0.85,0
145,1,0,0,1,0,0,0,1,5,0,16,1.06,0.95,0
147,1,0,0,1,0,0,0,1,8.5,0,14,1.12,0.89,0
148,1,0,0,1,0,0,0,1,4.5,0,17,1.06,0.95,0
151,1,0,0,1,0,0,0,1,1,0,15,1.09,0.81,0
152,1,0,0,1,0,0,0,1,35,0,15,1.17,0.95,0
157,2,0,0,1,0,0,0,1,10,0,12,0.91,0.85,0
161,3,0,0,1,0,0,0,1,8,1,17,1.12,1.02,0
163,3,0,0,1,0,0,0,1,12,1,16.5,1.2,1.07,0
164,3,0,0,1,0,0,0,1,4,1,19,1.12,1.02,0
165,4,0,0,1,0,0,0,1,20,0,12.5,1.06,0.89,0
169,1,0,0,1,0,0,0,1,12,1,16,1.1,0.94,0
170,1,0,0,1,0,0,0,1,10,1,16,1.1,1.02,0
187,3,0,0,1,0,0,1,1,4,0,15,1.12,1.09,0
190,3,0,0,1,0,0,0,1,5,1,16,1.02,1.07,0
196,4,0,0,1,0,0,0,1,8,1,11.5,0.95,0.85,0
197,1,0,0,1,0,0,0,1,23,0,17,0.99,0.89,0
234,1,0,0,1,0,0,0,1,0,0,16,1.12,NA,0
240,3,0,0,1,0,0,0,1,15,1,17,1.18,1.02,0
241,3,0,0,1,0,0,0,1,15,0,16,1.12,1.02,0
242,3,0,0,1,0,0,0,1,25,1,17,1.1,1.02,0
245,3,0,0,1,0,0,0,1,15,0,13.5,1.2,1.02,0
259,1,1,0,0,0,0,0,1,13,0,14.5,1.02,0.85,0
268,1,1,0,0,0,0,0,1,10,1,15,1.02,0.85,0
271,2,1,0,0,0,0,0,1,0,1,11,1.02,0.79,0
272,2,1,0,0,0,0,0,1,4,1,11,0.95,0.74,0
274,2,1,0,0,0,0,0,1,0,1,10,0.91,0.74,0
276,2,1,0,0,0,0,0,1,5,1,10.5,0.95,0.74,0
296,1,0,0,1,0,0,0,1,5,1,16,1.06,0.95,0
299,2,0,0,1,0,0,0,1,3,1,11.5,1.06,0.85,0
301,2,0,0,1,0,0,0,1,8,1,10.5,1.06,0.85,0
320,2,1,0,0,0,0,1,1,5,0,12,1.12,0.8,0
321,2,1,0,0,0,0,1,1,3,0,12.5,1.12,0.85,0
324,3,1,0,0,0,0,0,1,20,0,24,1.18,1.06,0
326,3,1,0,0,0,0,1,1,18,1,24,1.26,0.99,0
330,4,1,0,0,0,0,1,1,4,0,15.5,1.01,0.86,0
334,1,1,0,0,0,0,0,1,10,0,12.5,0.91,0.91,0
349,3,1,0,0,0,0,0,1,2.5,1,16,1.12,0.91,0
354,4,1,0,0,0,0,0,1,14,0,10.5,0.95,0.86,0
356,4,1,0,0,0,0,0,1,11.5,0,11.5,0.95,0.8,0
357,4,0,0,1,0,0,0,1,4.5,0,11.5,0.95,0.86,0
371,1,0,0,1,0,0,0,1,12,0,16,1.06,1.02,0
373,1,0,0,1,0,0,0,1,14,1,15.5,1.01,0.95,0
375,1,0,0,1,0,0,0,1,25,0,15,1.02,0.8,0
378,1,0,0,1,0,0,0,1,10,1,18.5,1.1,0.96,0
381,1,0,0,1,0,0,0,1,10,0,16.5,1.27,1.17,0
403,3,0,0,1,0,0,0,1,13,1,18,1.09,1.12,0
406,4,0,0,1,0,0,0,1,12,1,11.5,1.02,NA,0
407,4,0,0,1,0,0,0,1,5,1,10.5,1.17,1.17,0
409,1,0,0,1,0,0,0,1,3,0,15,1.19,0.87,0
1,1,0,1,0,0,0,0,1,16,0,16,0.93,0.83,0
2,1,0,1,0,0,0,0,1,10,0,14,1.06,0.91,0
3,2,0,1,0,0,0,0,1,6,0,10,1.06,0.95,0
4,3,0,1,0,0,0,0,1,10,0,12.5,1.06,1,0
5,3,0,1,0,0,0,0,1,5,0,17,0.95,NA,0
8,4,0,1,0,0,0,0,1,NA,0,12,1.02,0.91,0
9,1,0,1,0,0,0,0,1,12,0,16,1.04,0.67,0
10,1,0,1,0,0,0,0,1,15,0,16,1.04,0.85,0
11,1,0,1,0,0,0,0,1,10,0,16,1.09,0.89,0
12,1,0,1,0,0,0,0,1,6.5,0,16,1.05,0.79,0
13,2,0,1,0,0,0,0,1,0,0,10,1.06,0.95,0
15,3,0,1,0,0,0,0,1,3,0,17,1.02,0.98,0
16,3,0,1,0,0,0,0,1,6,0,17,1,1,0
17,3,0,1,0,0,0,0,1,0,0,17,1.06,1,0
18,3,0,1,0,0,0,0,1,15,0,17,NA,NA,0
19,1,1,0,0,0,0,0,1,4,0,16,1.05,0.91,0
21,2,1,0,0,0,0,0,1,5,0,10.5,1.06,0.8,0
22,3,1,0,0,0,0,0,1,3,0,16,1.06,0.84,0
