"","Admission","LSAT","Essay","GPA"
"1",1,160,55,2.78
"2",1,173,79,0.33
"3",0,149,38,1.86
"4",1,173,34,3.74
"5",0,130,52,2.99
"6",1,160,59,1.06
"7",0,139,35,3.7
"8",1,144,34,4.13
"9",0,134,37,2.71
"10",1,152,65,2.35
"11",1,174,33,2.17
"12",0,135,57,2.58
"13",1,161,31,2.05
"14",0,135,56,2.36
"15",1,154,38,1.89
"16",1,152,75,1.65
"17",1,161,37,3.45
"18",1,156,40,1.27
"19",1,147,49,2.93
"20",0,160,46,1.27
"21",1,145,77,3.44
"22",1,140,66,2.22
"23",1,165,58,1.89
"24",1,149,52,1.89
"25",1,153,73,2.52
"26",0,137,42,2.29
"27",0,141,56,2.26
"28",1,135,55,2.9
"29",1,142,64,2.98
"30",0,139,34,1.22
"31",1,160,60,1.16
"32",1,146,54,2.43
"33",1,167,69,1.71
"34",0,146,37,3.23
"35",1,155,47,3.7
"36",1,155,50,3.95
"37",0,157,35,2.4
"38",0,137,41,2.37
"39",1,154,42,1.85
"40",1,173,49,2.67
"41",1,160,48,1.42
"42",0,147,55,2.18
"43",1,148,62,2.67
"44",1,171,64,2.38
"45",1,158,64,2.89
"46",1,141,64,2.66
"47",1,149,55,2.35
"48",0,153,44,2.37
"49",1,159,50,2.47
"50",1,156,49,3.31
"51",0,154,51,2.58
"52",1,164,71,3.31
"53",1,145,55,4.32
"54",1,146,80,3.13
"55",0,147,64,1.33
"56",0,144,28,3.34
"57",1,150,67,2.69
"58",0,145,46,2.24
"59",0,160,61,2.27
"60",1,165,57,3.62
"61",1,142,70,3.56
"62",0,143,27,2.81
"63",0,139,52,2.39
"64",1,172,73,3.76
"65",1,159,58,2.44
"66",0,148,50,2.76
"67",0,154,31,0.64
"68",1,156,64,0.88
"69",0,169,44,2.03
"70",1,152,55,0.86
"71",1,149,54,2.54
"72",1,151,57,1.27
"73",1,159,39,3.43
"74",1,154,43,2.82
"75",0,140,61,1.25
"76",1,152,41,3.06
"77",0,144,64,2.26
"78",0,123,66,1.62
"79",1,146,37,2.62
"80",1,147,58,2.57
"81",1,167,76,3.23
"82",1,161,57,2.41
"83",1,149,66,2.71
"84",0,139,43,2.3
"85",0,152,17,1.93
"86",1,162,55,3.08
"87",1,156,59,2.25
"88",1,167,42,3.28
"89",1,154,44,3.01
"90",0,139,40,1.38
"91",0,147,49,3.17
"92",1,143,70,3.5
"93",0,156,34,2.11
"94",1,156,62,2.44
"95",1,142,63,2.55
"96",1,156,40,3.62
"97",1,160,29,1.89
"98",1,147,79,3.26
"99",0,154,60,1.77
"100",0,153,46,2.47
"101",1,143,58,2.13
"102",0,134,58,3.29
"103",1,172,56,2.5
"104",1,161,74,2.32
"105",0,142,59,2.16
"106",1,158,59,2.64
"107",0,145,46,1.99
"108",0,159,11,2.6
"109",0,142,29,2.38
"110",0,145,57,2.23
"111",0,143,71,2.09
"112",1,151,58,2.39
"113",1,165,59,1.96
"114",0,139,62,1.75
"115",0,149,61,2
"116",1,163,42,2.3
"117",0,135,30,3.2
"118",1,148,83,2.38
"119",1,150,36,2.26
"120",0,132,37,1.49
"121",1,145,52,3.15
"122",0,165,74,3.42
"123",0,159,85,2.31
"124",1,163,76,1.8
"125",1,150,43,2.38
"126",1,164,67,2.65
"127",1,155,100,3.21
"128",0,147,49,1.55
"129",1,156,75,3.11
"130",1,141,75,2.28
"131",1,159,33,2.24
"132",1,160,46,2.4
"133",1,147,67,0.45
"134",0,141,38,2.03
"135",1,147,28,3.67
"136",0,156,41,2.41
"137",1,151,38,2.61
"138",0,121,30,2.78
"139",0,139,16,2.27
"140",1,163,58,2.16
"141",1,178,37,3.11
"142",0,140,40,1.73
"143",1,158,34,3.37
"144",1,167,80,1.96
"145",1,158,84,1.9
"146",0,142,75,1.98
"147",1,159,55,1.64
"148",1,168,35,2.64
"149",1,154,64,3.45
"150",0,154,48,2.05
"151",0,138,38,2.5
"152",0,134,65,1.41
"153",1,151,49,2.15
"154",0,153,33,1.49
"155",0,135,70,2.02
"156",0,158,52,1.48
"157",0,162,34,1.18
"158",1,167,57,3.72
"159",1,160,69,3.36
"160",0,143,66,2.29
"161",1,150,58,1.62
"162",1,164,39,3.02
"163",0,147,36,2.83
"164",1,174,51,1.69
"165",1,140,47,3.22
"166",1,159,35,1.54
"167",0,137,37,1.52
"168",1,166,34,3.33
"169",1,159,58,1.49
"170",0,146,61,3.13
"171",0,149,49,0.7
"172",1,151,82,1.82
"173",1,166,44,2.54
"174",1,150,81,0.84
"175",1,148,68,3.27
"176",1,146,20,2.54
"177",1,149,68,2.55
"178",0,124,48,2.53
"179",1,168,45,2.95
"180",0,154,53,1.33
"181",1,153,53,1.42
"182",0,126,48,1.74
"183",0,139,73,2.55
"184",1,161,48,1.68
"185",1,155,69,2.04
"186",1,165,28,3.5
"187",1,151,60,2.27
"188",1,155,47,2.55
"189",1,160,46,2.32
"190",0,147,58,1.81
"191",1,162,19,2.75
"192",1,130,70,2.42
"193",0,133,58,1.95
"194",0,161,33,2.74
"195",0,162,58,1.06
"196",0,161,29,2.62
"197",1,144,73,2.37
"198",1,141,45,2.33
"199",1,151,57,1.98
"200",1,158,66,2.99
"201",1,173,52,1.3
"202",1,165,45,4.44
"203",0,150,41,2.44
"204",1,166,69,2.95
"205",1,158,44,3.11
"206",1,152,51,3.62
"207",1,172,45,1.9
"208",1,167,59,2.78
"209",1,165,60,2.73
"210",1,155,79,2.56
"211",1,155,41,1.11
"212",1,158,61,3.59
"213",1,157,46,2.17
"214",1,147,46,2.64
"215",1,145,48,2.61
"216",1,160,28,1
"217",1,150,57,3.13
"218",1,160,49,1.06
"219",0,146,84,1.39
"220",1,146,51,2.86
"221",0,140,54,2.06
"222",0,155,52,2.31
"223",1,163,22,2.16
"224",0,137,57,3.11
"225",0,163,29,2.71
"226",1,153,60,2.17
"227",1,168,37,2.58
"228",0,154,64,2.6
"229",0,152,24,3.32
"230",0,151,50,2.74
"231",0,155,42,1.85
"232",1,150,73,2.97
"233",1,160,76,3.82
"234",1,161,66,1.89
"235",0,157,47,2.95
"236",1,154,95,2.78
"237",0,136,83,2.15
"238",0,154,55,0.05
"239",0,141,62,1.77
"240",0,145,51,3.67
"241",1,159,71,2.07
"242",0,136,78,2.97
"243",1,141,77,4.16
"244",0,146,48,1.78
"245",1,150,56,3.67
"246",0,154,38,1.7
"247",1,158,53,1.86
"248",1,159,66,4.02
"249",1,139,36,3.57
"250",1,162,73,1.86
"251",1,148,64,3.4
"252",1,155,35,1.64
"253",1,152,39,2.02
"254",0,147,36,1.9
"255",0,161,50,2.6
"256",0,144,60,3.17
"257",1,170,61,1.86
"258",1,138,51,1.09
"259",0,147,40,3.17
"260",1,155,43,3.21
"261",1,134,58,2.19
"262",1,168,54,1.54
"263",1,150,85,1.47
"264",0,156,57,1.75
"265",1,145,83,2.03
"266",0,138,69,2.43
"267",0,156,36,1.98
"268",1,163,49,3.3
"269",0,146,63,1.14
"270",1,148,50,1.24
"271",1,150,81,2.24
"272",0,128,72,3.19
"273",0,140,55,3.08
"274",1,152,74,3.5
"275",0,133,76,0.71
"276",1,147,54,2.73
"277",1,154,75,1.89
"278",1,160,52,3.48
"279",1,171,46,3.51
"280",1,151,70,2.92
"281",1,168,59,1.96
"282",1,143,47,2.52
"283",1,151,53,2.43
"284",0,157,38,1.34
"285",0,127,30,1.72
"286",0,152,52,3.16
"287",0,144,72,2.1
"288",0,140,67,1.96
"289",1,163,67,2.71
"290",1,148,62,2.74
"291",0,147,59,3.6
"292",0,145,25,3.87
"293",0,139,47,2.16
"294",0,137,49,2.44
"295",0,146,61,3.43
"296",0,140,24,1.64
"297",0,152,58,1.03
"298",1,165,50,2.25
"299",0,136,72,1.99
"300",1,146,73,3.77
"301",1,157,68,2.99
"302",1,153,49,2.28
"303",1,149,93,1.88
"304",0,147,33,2.75
"305",1,134,41,2
"306",1,152,55,1.93
"307",1,155,78,3.05
"308",1,167,32,1.94
"309",1,153,80,2.55
"310",0,166,43,2.11
"311",1,146,55,2.78
"312",1,137,65,3.3
"313",1,149,62,3.89
"314",1,143,54,2.47
"315",0,144,50,2.13
"316",0,163,61,2.05
"317",1,166,52,3.33
"318",1,147,44,3.8
"319",0,136,64,0.64
"320",1,140,67,2.92
"321",0,135,41,1.54
"322",1,154,45,2.59
"323",1,149,66,4.01
"324",0,144,60,2.68
"325",1,169,47,2.28
"326",1,150,69,2.65
"327",1,161,78,2.54
"328",1,159,63,3.14
"329",1,148,79,2.84
"330",0,159,34,0.82
"331",0,162,28,2.09
"332",1,169,50,2.03
"333",1,152,100,2.87
