"House_Price","Group","Post_Treatment"
213680,0,0
229355,0,1
190580,1,0
188669,1,1
253574,0,0
320094,0,1
188526,1,0
282998,1,1
184424,0,0
290409,0,1
264599,1,0
326471,1,1
187879,0,0
261908,0,1
304390,1,0
315034,1,1
103746,0,0
292574,0,1
285871,1,0
254414,1,1
249884,0,0
269092,0,1
140792,1,0
186905,1,1
139588,0,0
267914,0,1
219020,1,0
305342,1,1
209273,0,0
140421,0,1
160375,1,0
238654,1,1
284190,0,0
187717,0,1
226223,1,0
153317,1,1
246697,0,0
302078,0,1
205253,1,0
274084,1,1
234951,0,0
97130,0,1
157468,1,0
378317,1,1
261968,0,0
213490,0,1
203303,1,0
341764,1,1
280151,0,0
222201,0,1
201545,1,0
273318,1,1
267862,0,0
306021,0,1
297025,1,0
375064,1,1
99926,0,0
271209,0,1
334796,1,0
259133,1,1
129115,0,0
292227,0,1
227952,1,0
215275,1,1
159344,0,0
357255,0,1
173748,1,0
217644,1,1
236596,0,0
214330,0,1
251958,1,0
439713,1,1
221731,0,0
308839,0,1
163849,1,0
330987,1,1
126623,0,0
246932,0,1
316685,1,0
268252,1,1
256153,0,0
259972,0,1
297418,1,0
392981,1,1
220847,0,0
256593,0,1
243234,1,0
194042,1,1
169381,0,0
189535,0,1
222801,1,0
206758,1,1
266910,0,0
281072,0,1
305780,1,0
334905,1,1
274899,0,0
299108,0,1
311118,1,0
316442,1,1
303466,0,0
250023,0,1
209039,1,0
371123,1,1
125395,0,0
347823,0,1
368723,1,0
354227,1,1
264298,0,0
248363,0,1
276437,1,0
239798,1,1
252525,0,0
311122,0,1
250942,1,0
353512,1,1
185442,0,0
262597,0,1
230793,1,0
346553,1,1
190605,0,0
265974,0,1
233096,1,0
313050,1,1
268573,0,0
234644,0,1
235136,1,0
308148,1,1
252819,0,0
279315,0,1
288372,1,0
303695,1,1
232850,0,0
233755,0,1
320418,1,0
282623,1,1
75561,0,0
280851,0,1
250680,1,0
262329,1,1
250744,0,0
267423,0,1
233902,1,0
272736,1,1
172878,0,0
219322,0,1
233488,1,0
335085,1,1
155621,0,0
261700,0,1
282016,1,0
272446,1,1
249125,0,0
334222,0,1
256401,1,0
257359,1,1
117964,0,0
165966,0,1
229059,1,0
346873,1,1
159138,0,0
213644,0,1
169991,1,0
289619,1,1
278826,0,0
242414,0,1
271965,1,0
331364,1,1
278358,0,0
323936,0,1
335070,1,0
301575,1,1
205074,0,0
148804,0,1
265664,1,0
250399,1,1
335928,0,0
64643,0,1
190914,1,0
202695,1,1
126729,0,0
352428,0,1
257851,1,0
226320,1,1
195006,0,0
305981,0,1
217148,1,0
303084,1,1
267587,0,0
234457,0,1
218509,1,0
206006,1,1
252057,0,0
223354,0,1
235914,1,0
372614,1,1
100618,0,0
232419,0,1
337792,1,0
315219,1,1
232892,0,0
230725,0,1
211157,1,0
231822,1,1
158627,0,0
196321,0,1
208808,1,0
350435,1,1
284233,0,0
254519,0,1
209336,1,0
343752,1,1
208538,0,0
296552,0,1
222203,1,0
258673,1,1
227258,0,0
206576,0,1
199126,1,0
225904,1,1
226000,0,0
314243,0,1
194233,1,0
300953,1,1
226422,0,0
216603,0,1
291528,1,0
366744,1,1
329960,0,0
122795,0,1
231736,1,0
348064,1,1
214817,0,0
374682,0,1
232279,1,0
301762,1,1
219953,0,0
179283,0,1
204915,1,0
378489,1,1
217573,0,0
190684,0,1
282527,1,0
300041,1,1
227743,0,0
136500,0,1
290291,1,0
312017,1,1
69793,0,0
219511,0,1
301475,1,0
318381,1,1
223543,0,0
164823,0,1
362080,1,0
350727,1,1
140412,0,0
232118,0,1
272981,1,0
343661,1,1
186835,0,0
249148,0,1
232153,1,0
293561,1,1
327619,0,0
275778,0,1
124376,1,0
253537,1,1
124102,0,0
210874,0,1
236525,1,0
299108,1,1
195454,0,0
298928,0,1
235917,1,0
267142,1,1
172294,0,0
209782,0,1
311253,1,0
430586,1,1
135642,0,0
259664,0,1
128076,1,0
295191,1,1
205541,0,0
322080,0,1
214406,1,0
290122,1,1
287794,0,0
206565,0,1
224456,1,0
276018,1,1
243041,0,0
132628,0,1
335493,1,0
333394,1,1
230380,0,0
260231,0,1
205276,1,0
393752,1,1
276424,0,0
327495,0,1
185094,1,0
378409,1,1
280481,0,0
288982,0,1
336755,1,0
230653,1,1
209540,0,0
293568,0,1
275159,1,0
209288,1,1
265003,0,0
238300,0,1
237277,1,0
250965,1,1
198861,0,0
210979,0,1
187223,1,0
249981,1,1
179399,0,0
181138,0,1
155857,1,0
306397,1,1
275794,0,0
298171,0,1
236511,1,0
295045,1,1
108753,0,0
280098,0,1
340640,1,0
472503,1,1
229758,0,0
264437,0,1
227254,1,0
359898,1,1
204327,0,0
264572,0,1
310473,1,0
282820,1,1
168249,0,0
245490,0,1
283697,1,0
226017,1,1
247553,0,0
243444,0,1
235257,1,0
403116,1,1
150873,0,0
363862,0,1
159890,1,0
344130,1,1
206780,0,0
257661,0,1
231248,1,0
356615,1,1
282199,0,0
339694,0,1
220054,1,0
297769,1,1
108100,0,0
232162,0,1
169448,1,0
339367,1,1
246833,0,0
225777,0,1
161171,1,0
219465,1,1
274981,0,0
219520,0,1
218216,1,0
327075,1,1
218997,0,0
316567,0,1
231762,1,0
412920,1,1
251761,0,0
249219,0,1
235286,1,0
301249,1,1
210376,0,0
266218,0,1
278899,1,0
423637,1,1
212526,0,0
167422,0,1
196160,1,0
279802,1,1
191986,0,0
276981,0,1
225935,1,0
318052,1,1
436582,0,0
126869,0,1
162699,1,0
264032,1,1
295216,0,0
326865,0,1
175449,1,0
398962,1,1
251318,0,0
158145,0,1
364797,1,0
339117,1,1
237216,0,0
189632,0,1
267965,1,0
317224,1,1
297666,0,0
302776,0,1
200235,1,0
331110,1,1
335983,0,0
170133,0,1
190233,1,0
340247,1,1
260779,0,0
269012,0,1
150537,1,0
283201,1,1
212061,0,0
354577,0,1
161136,1,0
301122,1,1
126676,0,0
241778,0,1
348850,1,0
237595,1,1
243394,0,0
135027,0,1
226672,1,0
282877,1,1
219966,0,0
310577,0,1
163433,1,0
256005,1,1
202778,0,0
303660,0,1
271158,1,0
346702,1,1
154468,0,0
296011,0,1
133366,1,0
352440,1,1
255322,0,0
347527,0,1
107500,1,0
227204,1,1
133028,0,0
277521,0,1
245866,1,0
248019,1,1
50000,0,0
327401,0,1
266002,1,0
268457,1,1
143703,0,0
269305,0,1
94724,1,0
307347,1,1
218783,0,0
280706,0,1
199153,1,0
314338,1,1
194979,0,0
301840,0,1
198658,1,0
252102,1,1
244596,0,0
238013,0,1
280024,1,0
296591,1,1
221036,0,0
157048,0,1
202801,1,0
304521,1,1
171918,0,0
162548,0,1
289531,1,0
193223,1,1
174793,0,0
211901,0,1
254748,1,0
175560,1,1
160443,0,0
147638,0,1
232858,1,0
313592,1,1
123980,0,0
254162,0,1
194198,1,0
349646,1,1
186911,0,0
249536,0,1
296787,1,0
378117,1,1
239197,0,0
235899,0,1
337884,1,0
262980,1,1
178310,0,0
187604,0,1
252236,1,0
327371,1,1
168075,0,0
337096,0,1
87562,1,0
322500,1,1
345329,0,0
230328,0,1
285254,1,0
276881,1,1
179394,0,0
257118,0,1
195764,1,0
278110,1,1
274781,0,0
197489,0,1
299151,1,0
325593,1,1
141703,0,0
235470,0,1
213910,1,0
308671,1,1
242811,0,0
210615,0,1
186844,1,0
267521,1,1
261263,0,0
261949,0,1
272771,1,0
318772,1,1
213045,0,0
189922,0,1
233772,1,0
238692,1,1
203537,0,0
146837,0,1
232254,1,0
221862,1,1
192949,0,0
285854,0,1
158552,1,0
325718,1,1
294006,0,0
166837,0,1
144219,1,0
247679,1,1
266616,0,0
251128,0,1
188171,1,0
385144,1,1
203485,0,0
158664,0,1
252011,1,0
278603,1,1
180323,0,0
290301,0,1
168989,1,0
346210,1,1
236578,0,0
230961,0,1
207412,1,0
453729,1,1
304196,0,0
306011,0,1
181094,1,0
334426,1,1
125515,0,0
285045,0,1
245312,1,0
254770,1,1
217568,0,0
300631,0,1
285004,1,0
271252,1,1
139697,0,0
269716,0,1
166722,1,0
286935,1,1
168339,0,0
180676,0,1
84850,1,0
267916,1,1
287726,0,0
273010,0,1
236436,1,0
307533,1,1
348603,0,0
356713,0,1
249480,1,0
375815,1,1
142892,0,0
221714,0,1
187931,1,0
222028,1,1
173056,0,0
256629,0,1
277242,1,0
414002,1,1
219616,0,0
315478,0,1
224017,1,0
254030,1,1
275483,0,0
223003,0,1
266864,1,0
361854,1,1
218737,0,0
242871,0,1
224122,1,0
327919,1,1
101496,0,0
429828,0,1
162942,1,0
250080,1,1
204786,0,0
282116,0,1
266769,1,0
268022,1,1
263682,0,0
249442,0,1
230663,1,0
324781,1,1
264032,0,0
218872,0,1
183928,1,0
320965,1,1
112065,0,0
93364,0,1
272548,1,0
243872,1,1
330750,0,0
239413,0,1
227563,1,0
228218,1,1
347193,0,0
303876,0,1
210510,1,0
272380,1,1
234498,0,0
303877,0,1
350065,1,0
215661,1,1
221547,0,0
355782,0,1
210983,1,0
398884,1,1
133423,0,0
201173,0,1
358283,1,0
268239,1,1
221762,0,0
229177,0,1
269337,1,0
311668,1,1
244247,0,0
261354,0,1
189476,1,0
295527,1,1
187016,0,0
258691,0,1
356085,1,0
256839,1,1
215330,0,0
247790,0,1
198680,1,0
228116,1,1
243852,0,0
178345,0,1
329533,1,0
355634,1,1
155812,0,0
193013,0,1
175591,1,0
406713,1,1
177084,0,0
300651,0,1
276772,1,0
260922,1,1
188801,0,0
283702,0,1
198401,1,0
279726,1,1
81751,0,0
215719,0,1
239042,1,0
235686,1,1
172982,0,0
237302,0,1
83444,1,0
294697,1,1
201232,0,0
222782,0,1
284598,1,0
292987,1,1
244317,0,0
354989,0,1
187189,1,0
382586,1,1
179465,0,0
210556,0,1
274465,1,0
361746,1,1
105156,0,0
240790,0,1
216869,1,0
315687,1,1
285759,0,0
256282,0,1
222111,1,0
310525,1,1
245362,0,0
322059,0,1
196867,1,0
368342,1,1
297550,0,0
347020,0,1
123448,1,0
234283,1,1
247002,0,0
223878,0,1
267298,1,0
306652,1,1
254215,0,0
211682,0,1
245267,1,0
315309,1,1
168890,0,0
289396,0,1
293219,1,0
286073,1,1
237991,0,0
222223,0,1
228330,1,0
348757,1,1
119770,0,0
252623,0,1
231380,1,0
188434,1,1
123321,0,0
193813,0,1
268832,1,0
224671,1,1
218384,0,0
252732,0,1
164566,1,0
331279,1,1
191894,0,0
306205,0,1
246457,1,0
375256,1,1
247270,0,0
321233,0,1
200047,1,0
319454,1,1
237292,0,0
236698,0,1
189585,1,0
295344,1,1
